ID,Product Name,Serial Number,Category,Price ($),Stock Quantity,Unique Key
1,Laptop,ZFJG,Electronics,1200,10,Key_1
2,Smartphone,01BC,Electronics,800,15,Key_2
3,Tablet,02CD,Electronics,600,20,Key_3
4,Monitor,03DE,Electronics,300,25,Key_4
5,Keyboard,04EF,Accessories,100,30,Key_5
6,Laptop,05FG,Electronics,1200,10,Key_6
7,Smartphone,06GH,Electronics,800,15,Key_7
8,Tablet,07HI,Electronics,600,20,Key_8
9,Monitor,08IJ,Electronics,300,25,Key_9
10,Keyboard,09JK,Accessories,100,30,Key_10
11,Laptop,3740,Electronics,1200,10,Key_11
12,Smartphone,11LM,Electronics,800,15,Key_12
13,Tablet,12MN,Electronics,600,20,Key_13
14,Monitor,13NO,Electronics,300,25,Key_14
15,Keyboard,14OP,Accessories,100,30,Key_15
16,Laptop,15PQ,Electronics,1200,10,Key_16
17,Smartphone,16QR,Electronics,800,15,Key_17
18,Tablet,17RS,Electronics,600,20,Key_18
19,Monitor,18ST,Electronics,300,25,Key_19
20,Keyboard,19TU,Accessories,100,30,Key_20
21,Laptop,,Electronics,1200,10,Key_21
22,Smartphone,21VW,Electronics,800,15,Key_22
23,Tablet,22WX,Electronics,600,20,Key_23
24,Monitor,23XY,Electronics,300,25,Key_24
25,Keyboard,24YZ,Accessories,100,30,Key_25
26,Laptop,25ZA,Electronics,1200,10,Key_26
27,Smartphone,26AB,Electronics,800,15,Key_27
28,Tablet,27BC,Electronics,600,20,Key_28
29,Monitor,28CD,Electronics,300,25,Key_29
30,Keyboard,29DE,Accessories,100,30,Key_30
31,Laptop,30E1,Electronics,1200,10,Key_31
32,Smartphone,31FG,Electronics,800,15,Key_32
33,Tablet,32GH,Electronics,600,20,Key_33
34,Monitor,33HI,Electronics,300,25,Key_34
35,Keyboard,34IJ,Accessories,100,30,Key_35
36,Laptop,35JK,Electronics,1200,10,Key_36
37,Smartphone,36KL,Electronics,800,15,Key_37
38,Tablet,37LM,Electronics,600,20,Key_38
39,Monitor,38MN,Electronics,300,25,Key_39
40,Keyboard,39NO,Accessories,100,30,Key_40
41,Laptop,DCIH,Electronics,1200,10,Key_41
42,Smartphone,41PQ,Electronics,800,15,Key_42
43,Tablet,42QR,Electronics,600,20,Key_43
44,Monitor,43RS,Electronics,300,25,Key_44
45,Keyboard,44ST,Accessories,100,30,Key_45
46,Laptop,45TU,Electronics,1200,10,Key_46
47,Smartphone,46UV,Electronics,800,15,Key_47
48,Tablet,47VW,Electronics,600,20,Key_48
49,Monitor,48WX,Electronics,300,25,Key_49
50,Keyboard,49XY,Accessories,100,30,Key_50
51,Laptop,0586,Electronics,1200,10,Key_51
52,Smartphone,51ZA,Electronics,800,15,Key_52
53,Tablet,52AB,Electronics,600,20,Key_53
54,Monitor,53BC,Electronics,300,25,Key_54
55,Keyboard,54CD,Accessories,100,30,Key_55
56,Laptop,55DE,Electronics,1200,10,Key_56
57,Smartphone,56EF,Electronics,800,15,Key_57
58,Tablet,57FG,Electronics,600,20,Key_58
59,Monitor,58GH,Electronics,300,25,Key_59
60,Keyboard,59HI,Accessories,100,30,Key_60
61,Laptop,,Electronics,1200,10,Key_61
62,Smartphone,61JK,Electronics,800,15,Key_62
63,Tablet,62KL,Electronics,600,20,Key_63
64,Monitor,63LM,Electronics,300,25,Key_64
65,Keyboard,64MN,Accessories,100,30,Key_65
66,Laptop,65NO,Electronics,1200,10,Key_66
67,Smartphone,66OP,Electronics,800,15,Key_67
68,Tablet,67PQ,Electronics,600,20,Key_68
69,Monitor,68QR,Electronics,300,25,Key_69
70,Keyboard,69RS,Accessories,100,30,Key_70
71,Laptop,70S1,Electronics,1200,10,Key_71
72,Smartphone,71TU,Electronics,800,15,Key_72
73,Tablet,72UV,Electronics,600,20,Key_73
74,Monitor,73VW,Electronics,300,25,Key_74
75,Keyboard,74WX,Accessories,100,30,Key_75
76,Laptop,75XY,Electronics,1200,10,Key_76
77,Smartphone,76YZ,Electronics,800,15,Key_77
78,Tablet,77ZA,Electronics,600,20,Key_78
79,Monitor,78AB,Electronics,300,25,Key_79
80,Keyboard,79BC,Accessories,100,30,Key_80
